"","id","age","IDN","Naples","Rome","Kenya","Philippines","Thailand","Sweden","US_AA","US_H","Colombia","Jordan","male","max_parental_ed","JDM","IDM","MatWarmth","PatWarmth","CE_2","CE_3"
"13",13,15.9698927626335,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",15.597247807001,0.397188307159109,0.435794450603302,3.1631058284691,3.2097662140693,2.72681668335791,1.7546557580334
"14",14,15.7093930789187,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",14.375974234129,1.04176261521965,0.257051223844908,3.7819402047635,2.12270180509195,2.0221929741519,2.16306052826318
"15",15,15.1108546609908,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",11.5699088226853,0.812850619637897,0.460879477755515,3.98952703716289,3.58388120574704,1.60339396435775,1.3471924084899
"16",16,17.2146479968492,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",21.432904305941,1.50933095838938,0.0368476781999002,4.48911161826586,3.78483743356779,3.84287639506981,2.31790157910025
"17",17,16.0570697294499,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",16.0059505133451,1.29962324464139,0.197837817421977,4.62518852767142,3.58212798656112,2.5931762496094,1.75963591217157
"18",18,13.8439777933466,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",5.63054177058922,1.32363585037013,0.156372949956677,3.3506796039495,3.36138560499487,0.163475580478071,0.801847581435872
"19",19,16.2398175996042,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",16.8627083455831,1.72415905447921,-0.0234288158404377,2.8427999585856,3.87613605354647,2.26229970631526,2.53619340226899
"20",20,15.1854333158603,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",11.9195481734654,0.873846441962933,0.346356896188704,2.56428698871945,3.30776680593863,1.00098919982204,2.34762626119125
"21",21,14.6510943120238,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",9.41446219779538,0.812674432829855,0.462971968238425,3.77178533002512,3.23977036818951,1.18370980707029,1.09811838199063
"22",22,15.4142585266368,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",12.9923256092886,0.865965620056383,0.351476181066149,4.71679654465491,4.47190307199441,2.2685788390297,0.882709950908087
"23",23,14.6886480054201,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",9.59052127262652,0.812980401682922,0.285810725029514,3.67469132424333,3.05691924191335,1.51838557454162,0.810214344954058
"24",24,14.9554556760966,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",10.8413679246843,0.732199603400178,0.356591528198101,2.65298106048522,2.52177002725518,1.43031349835808,1.58690803411605
"25",25,15.0487147374714,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",11.2785846823546,1.82004834430501,-0.0391012124463309,3.50294289391346,1.86768743671714,0.857421856170795,2.31927853990988
"26",26,14.0953494069533,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",6.80902116177444,0.438810168048227,0.378175452675068,3.70761404338959,3.67547619643466,0.650726289308023,0.689690583730704
"27",27,16.3623327659561,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",17.437083457322,0.869600127601463,0.493040534504492,4.37057448450035,4.395385269719,2.13676809021698,2.76562433652409
"28",28,15.7477290598172,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",14.5557008260917,0.654244858344687,0.367040922006356,2.68030836932609,1.43448241794955,2.02570265337279,2.49474103753328
"29",29,14.5879530305633,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",9.1184434951797,1.17546106264096,-0.0294650367374119,4.13072015755812,2.75156231548586,1.53400484471865,0.571323578867704
"30",30,16.7359257991208,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",19.1885608177044,1.38337578539041,0.105650571074881,3.58069775860899,3.41853009360087,3.05584998983572,2.54487044613804
"31",31,15.9929648708862,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",15.7054143724174,0.745434209248489,0.32194799569462,3.90067436254174,2.70851384773353,1.86263476100523,2.76641871995484
"32",32,15.3450258082729,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",12.6677490566025,1.17703568751207,0.226891258659793,4.08354387184657,4.38163994420462,1.3669861286856,1.8403978396462
"33",33,16.4138228436184,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",17.6784790329995,1.14091845602795,0.170893757476288,4.11733593440885,3.69226463592687,2.47711198121718,2.56781892949584
"34",34,16.3985638718047,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",17.6069419825141,1.56430495436138,-0.133790826952329,4.02011795540589,4.45853588907166,2.42293658831636,2.42488495845062
"35",35,16.3477798113105,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",17.3688563536938,1.47522425674091,0.122257060426139,3.56777393435769,3.91687318041189,2.8195916697397,2.03847106594021
"36",36,16.2283989481819,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",16.8091754697614,0.908504242529672,0.336761331079426,3.71487639481581,3.09471843446347,3.06269097168536,1.73859207725274
"37",37,16.1074180528768,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",16.2419933213932,1.21129321881422,0.0744409461888345,4.36423698306479,4.10041857516618,1.85103494914687,2.6405274293232
"38",38,15.5544032839021,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",13.649351698472,1.14359228472991,0.120825527133954,3.41092859191804,2.64889375225685,2.55122031250698,1.20856341789399
"39",39,15.3352455279616,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",12.621897185655,0.287723091228578,0.461444851316219,3.74704678310021,2.84263439806422,2.1617822241459,1.30054755982518
"40",40,15.2683370410909,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",12.3082170857379,0.967203532555763,0.103446996295781,4.33102883458819,3.54232525379962,1.40273373179203,1.79627700357384
"41",41,14.9861531329294,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",10.9852836187446,1.10706831870996,0.0975288058253707,3.58267567282574,2.79821489758432,1.97353821430041,0.828353136118848
"42",42,15.4232902843384,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",13.0346682595375,0.738796832058509,0.499300715712335,3.26923722049512,2.65350027230883,2.13906885012792,1.52258455620558
"43",43,14.4736740762917,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",8.58268135989761,0.750465316619158,0.348479392490078,3.05783847595162,2.27987068194158,1.58212207531549,0.560129852994214
"44",44,17.557722456874,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",23.0413046140751,1.11123969527388,0.222601779203108,3.55524373318192,3.75555647610163,3.46939243848146,3.49780213184802
"45",45,16.6947498744779,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",18.995520012864,0.684014894134672,0.373518914666173,3.19069647668859,3.76750330327784,2.83100586990054,2.78795682197296
"46",46,14.6014484922834,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",9.1817128647139,0.467881283106338,0.38046987895756,3.38864201828587,3.28262095025461,1.01991506002002,1.25590938309503
"47",47,15.2482094179014,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",12.2138548433909,0.621409385027397,0.396735360722458,2.31658537806578,2.55195214640732,1.70773436668725,1.82526343220829
"48",48,15.1909434924463,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",11.9453809612462,0.758158535880227,0.352748571139929,3.17928665808541,2.30390572085447,1.53492029359236,1.86634742210877
"49",49,16.310408676266,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",17.1936531481959,1.16622257876566,0.184988148717269,2.585439828698,3.08892365518464,2.49553763622951,2.61599428672283
"50",50,15.5351345783083,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",13.5590162301536,1.44451864989271,-0.0273922653973911,3.31201044591604,3.49742728400908,2.70957668382518,0.819814541478664
"51",51,15.8374800255673,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",14.9764709439179,1.08024550886807,0.355062240127863,3.73096158974406,2.76335656379817,2.2872236598756,1.98100896501335
"52",52,15.5843650136969,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",13.789818159982,1.06463663003429,0.26980222079981,3.10533975473587,3.06822544296388,2.01592924108003,1.85109403532374
"53",53,15.5715023293524,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",13.7295153748036,1.05549864486532,0.0138354959892886,4.29687279166541,3.7357171657645,1.62254994250916,2.03619617577005
"54",54,16.839004851045,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",19.6718156157009,1.29143689607951,-0.00805680304465428,3.95779064852087,4.77869524245489,3.43925224296537,2.01652110984967
"55",55,15.407257654878,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",12.9595041503745,1.04665191936863,0.346302574755058,3.3560769425657,2.64941461033861,2.08722017933011,1.50939812402677
"56",56,16.9717906027777,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",20.2943412446484,1.32478977486868,0.21097214518836,4.31663607257205,4.4053015669569,3.49574653633703,2.22475730109497
"57",57,14.2192199818013,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",7.38975069419077,1.40252325583987,0.205913766169064,3.43366429145124,2.97199595389787,0.43192283344859,1.21084494153238
"58",58,16.1349831471732,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",16.3712238859679,0.670434854250008,0.326802310646443,3.72146412609289,3.01909015663853,2.00347860944548,2.82654237379116
"59",59,15.7212211109725,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",14.4314263665858,1.33051875647709,0.0463510181299167,2.47139279785854,3.28249532670435,1.92318191179288,2.18811810215629
"60",60,15.8039155287321,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",14.8191140044121,1.0114435327778,0.295487000354197,3.07591103544496,3.32156209630849,2.7075788551851,1.40852540863662
"61",61,15.9509162555184,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",15.5082822224191,1.09130164137934,0.238656700544914,3.53019021055006,3.9801056330668,2.12786255949002,2.16755357332316
"62",62,15.1589135391078,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",11.7952182624098,0.608795844906664,0.319868116740257,2.98502799046383,2.57796438142473,1.29283641366232,2.07203501100427
"63",63,15.3107797694649,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",12.5071969147517,0.690119517366809,0.439853206047694,2.45475713113751,2.18047812218318,1.86682126789888,1.7993595456577
"64",64,14.6953193059698,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",9.62179763711916,0.901176888825593,0.306381076898864,2.78076244175445,2.65101682310807,1.55073355535543,0.935221989736017
"65",65,14.6475314786249,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",9.39775893653782,0.127859808503248,0.571305874811464,3.92405298974836,4.80301867799498,1.53034568417051,0.477211700233044
"66",66,15.882568719981,"Italy-Naples",0,0,0,0,0,0,0,0,0,1,"not male",15.1878555803119,0.56099598663354,0.465765452945147,2.68207924641897,2.48240796811066,2.6494625715636,1.84836436070918
"67",67,16.0124923812092,"Italy-Naples",1,0,0,0,0,0,0,0,0,0,"not male",15.7969631680299,1.2781434732227,0.20976599864015,3.49454304207942,3.33335470048581,2.10638797171117,2.39736441142506
"68",68,15.657597795604,"Italy-Naples",0,1,0,0,0,0,0,0,0,0,"not male",14.1331477945354,0.833020597808883,0.370093036402622,3.36077703295081,2.83755502580868,2.27641456694904,1.72224438907933
"69",69,16.438196186156,"Italy-Naples",0,0,1,0,0,0,0,0,0,0,"not male",17.7927460397737,0.753636513873593,0.487564701959385,3.48307133437428,2.8429774191133,2.69893288721113,2.61706955598253
"70",70,17.4509760476932,"Italy-Naples",0,0,0,1,0,0,0,0,0,0,"not male",22.5408565264903,0.890611670929533,0.222727540690393,3.76392160339514,3.53635065451555,3.1129640445016,3.75695746490853
"71",71,15.1690540128812,"Italy-Naples",0,0,0,0,1,0,0,0,0,0,"not male",11.842758790902,0.993494614822306,0.0878883519076846,3.49128800047371,3.22478065877924,1.43002135128984,1.72286112549524
"72",72,13.5363663496745,"Italy-Naples",0,0,0,0,0,1,0,0,0,0,"not male",4.18839903355218,0.0457028465994884,0.683381739551723,2.55825386254599,2.61163782915221,-0.141291856029354,0.961921083264736
"73",73,16.5131531949671,"Italy-Naples",0,0,0,0,0,0,1,0,0,0,"not male",18.1441591879861,1.38441800946278,-0.0459848818381363,4.00363976278532,2.29808797034313,3.43936061397018,1.85242912362043
"74",74,14.973137715201,"Italy-Naples",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",10.9242647895281,0.0951800362058709,0.74662759200166,3.45545422065192,2.33022452858664,1.65658986275671,1.39230789879995
"75",75,14.9921682624123,"Italy-Naples",0,0,0,0,0,0,0,1,0,0,"not male",11.0134837246724,0.54067477413962,0.496784106029921,2.49018736257877,1.49693311832013,1.65552018800798,1.6103982530347
"76",76,16.5309630899876,"Italy-Naples",0,0,0,0,0,0,0,0,1,0,"not male",18.2276554664231,0.786447367692874,0.358511407882934,3.73185068425666,2.65929018883955,2.62543549746078,2.86279845060104
"77",77,15.3542738396682,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",12.7111056403153,0.375124719569761,0.694482148068046,2.97690987718263,3.39645238700571,2.32458058748898,1.13176335467862
"78",78,14.5137954943954,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",8.77077843140841,0.705398355276921,0.362024052459625,4.47302047723598,4.64192800515441,0.632806210588271,1.18361452406308
"79",79,15.7728105248147,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",14.6732876497439,0.899895266840861,0.255544419119115,2.66512951384933,1.17305597977716,2.22631861842529,2.32590928304773
"80",80,15.4852755565297,"Italy-Rome",0,0,1,0,0,0,0,0,0,0,"not male",13.3252673641316,0.989728003409123,0.161866166234669,3.95997893700592,3.39434598344706,1.77362539588521,1.81586620807307
"81",81,15.6151762389381,"Italy-Rome",0,0,0,1,0,0,0,0,0,0,"not male",13.9342672226385,0.525808756012781,0.316378231425915,2.15697121546224,1.81851573168575,2.04654405641422,2.23027913264503
"82",82,15.9559818002114,"Italy-Rome",0,0,0,0,1,0,0,0,0,0,"not male",15.5320304887419,0.00717501846159674,0.868792691836032,2.92301090136994,3.45695928926337,2.46429232471749,2.0731925995621
"83",83,15.2771472914504,"Italy-Rome",0,0,0,0,0,1,0,0,0,0,"not male",12.349521266154,0.309352473053845,0.502321726153546,2.9104987210098,2.15883476082479,1.5149608877485,2.14248630832779
"84",84,16.1886501405699,"Italy-Rome",0,0,0,0,0,0,1,0,0,0,"not male",16.6228252692643,0.93288916211512,0.180347203528281,3.49644514595049,3.45941716445505,2.28572768787586,2.51039722539276
"85",85,15.4120030674868,"Italy-Rome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",12.9817515747431,0.651085797282356,0.433053881002203,3.64295688301714,2.66694741138973,1.93951935455634,1.69781054224198
"86",86,15.9079402035963,"Italy-Rome",0,0,0,0,0,0,0,1,0,0,"not male",15.3068020680851,0.559625415087935,0.370124643624582,2.97443777933054,3.48114822937181,1.95524064197555,2.486630568665
"87",87,16.5949614338081,"Italy-Rome",0,0,0,0,0,0,0,0,1,0,"not male",18.5276922453588,1.45490371178396,0.202055931153055,3.24989675332911,3.68515905606094,2.7808739677714,2.59749326813898
"88",88,16.0007929787688,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",15.7421140764103,1.24359826010676,0.109785183405729,4.28531742561062,2.90874944026514,2.04999368644567,2.43495573432684
"89",89,15.317313436193,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",12.5378280249135,0.642808732549321,0.803086461286284,3.35607589354322,2.35867941493103,2.07513103199716,1.47693158371809
"90",90,16.6416292413691,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",18.7464800736791,0.911337372879269,0.243162477929431,3.67667146650797,3.54515840300579,2.30808567832391,3.25876025831598
"91",91,16.502166462654,"Italy-Rome",0,0,1,0,0,0,0,0,0,0,"not male",18.0926512336005,1.09916218963823,-0.0300462118463108,4.79873958546201,4.54821650044728,2.62620303465933,2.33080430262897
"92",92,16.1024604696382,"Italy-Rome",0,0,0,1,0,0,0,0,0,0,"not male",16.218751199529,0.723406325140122,0.174206211428548,3.70101052882884,3.433292429133,2.1195456233372,2.55262735804918
"93",93,15.8243810981301,"Italy-Rome",0,0,0,0,1,0,0,0,0,0,"not male",14.9150606048192,0.774363461913911,0.680033029506943,3.73101636247308,2.66480215800691,2.27515536371412,2.03493176482316
"94",94,15.0461403437166,"Italy-Rome",0,0,0,0,0,1,0,0,0,0,"not male",11.2665154198742,0.790165772564305,0.278809907380216,3.05095778774036,2.82572850859518,1.71570231617284,1.3177190260603
"95",95,16.8318658987799,"Italy-Rome",0,0,0,0,0,0,1,0,0,0,"not male",19.6383468083113,1.27637551356447,0.159264738396259,3.06442690476356,3.09098162265377,2.84469162765586,3.07736529413467
"96",96,15.0709668907419,"Italy-Rome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",11.3829071381106,1.05890446230613,0.193799632939476,3.91458266077875,4.48282887761953,2.07450702710002,0.549199389391973
"97",97,17.5742250277289,"Italy-Rome",0,0,0,0,0,0,0,1,0,0,"not male",23.1186719005998,1.07013775975493,0.472164425562556,3.3033644538261,3.36893397258069,3.5847507356462,3.5031779043546
"98",98,16.9862843423143,"Italy-Rome",0,0,0,0,0,0,0,0,1,0,"not male",20.3622907362396,0.985798272959533,0.194459189077725,2.54933225924197,3.12679210497751,3.18323410813237,3.03340012113767
"99",99,15.3983410775278,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",12.917701488187,1.12423061588111,0.244527819702384,3.07280226513994,2.15025092508617,2.95464588790136,0.595800499492688
"100",100,14.6882740315245,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",9.58876800970845,1.01732713898378,0.202608486907026,4.21877794755356,2.84050533442114,1.036049524399,1.32560567339553
"101",101,14.972054905798,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",10.9191883668259,1.0726098406419,0.219076912554649,3.59338637429309,3.32023553145664,2.28689474925706,0.361629306965992
"102",102,15.8406815708226,"Italy-Rome",0,0,1,0,0,0,0,0,0,0,"not male",14.991480415549,0.431647272306998,0.642122869533507,2.70462598118427,2.42713862650174,2.11781673819685,2.4154605847918
"103",103,15.3884706931408,"Italy-Rome",0,0,0,1,0,0,0,0,0,0,"not male",12.8714271916734,1.00036869128883,0.183790467261585,4.33639144194963,4.28669120533239,1.88952959338797,1.3209447716867
"104",104,15.2979067457408,"Italy-Rome",0,0,0,0,1,0,0,0,0,0,"not male",12.4468456565355,0.669854814841382,0.307371699339066,3.21880791724179,3.80406736072891,2.04067345932061,1.21639984903634
"105",105,14.755446526596,"Italy-Rome",0,0,0,0,0,1,0,0,0,0,"not male",9.90368583181428,0.850256500779414,0.314413246802151,2.81128330138668,3.07141391242232,1.37304615031864,1.17582553384055
"106",106,15.5695651031216,"Italy-Rome",0,0,0,0,0,0,1,0,0,0,"not male",13.7204332785544,1.19589411592015,0.0783437171184733,3.86839292854483,4.55221866595053,1.38491669789306,2.19840096035151
"107",107,14.9051557864275,"Italy-Rome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",10.6055521835857,0.843391701432568,0.375605823481259,3.30607392451589,2.96578926699755,1.69835515594833,1.03987166566977
"108",108,14.1121881409439,"Italy-Rome",0,0,0,0,0,0,0,1,0,0,"not male",6.88796444696394,0.402195446211175,0.390994400547274,2.78744394348646,1.66246351491134,0.666091988527767,1.14264674565866
"109",109,15.2685565847816,"Italy-Rome",0,0,0,0,0,0,0,0,1,0,"not male",12.3092463495885,0.626764593350368,0.461864890311822,3.57337392915751,3.19673707739547,1.61586769423806,1.73617054784564
"110",110,16.4352589549366,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",17.7789757241458,1.1094457929451,0.242577841702327,3.50430307127406,3.61541158023342,3.18438148921036,1.87150300792001
"111",111,15.0933384275777,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",11.4877892874187,1.2302734463094,0.00196693687397731,2.83394698423735,3.00109252690889,2.30981900985309,0.652358675347383
"112",112,16.1559519613581,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",16.4695297965674,0.650888721137762,0.235293865620562,3.88441869012834,3.38021974003995,3.22893831603898,1.37116410411334
"113",113,14.1571413279563,"Italy-Rome",0,0,1,0,0,0,0,0,0,0,"not male",7.09871379810262,0.681996929082118,0.330044112258233,3.26809479936736,2.36991207625466,0.625949590976186,1.07045536391133
"114",114,15.560105354959,"Italy-Rome",0,0,0,1,0,0,0,0,0,0,"not male",13.6760841251417,0.804328098941738,0.306852793242469,2.19732213337991,3.16478873126295,2.14251242743687,1.76051588185244
"115",115,16.0764276691412,"Italy-Rome",0,0,0,0,1,0,0,0,0,0,"not male",16.096704328602,0.71232271265698,0.181633650500334,3.28834991780892,3.50520380664252,1.75547826445319,2.95517331409818
"116",116,15.8804357192257,"Italy-Rome",0,0,0,0,0,1,0,0,0,0,"not male",15.1778556547219,1.25466710993682,0.245756766284661,4.25221095763025,3.93936684146114,1.94756540951835,2.17236552429702
"117",117,15.7048972223457,"Italy-Rome",0,0,0,0,0,0,1,0,0,0,"not male",14.3548967773671,0.959029216487158,0.110058005631106,3.67922567968941,4.42680646604446,1.72992486460936,2.10402922795004
"118",118,15.0346460045418,"Italy-Rome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",11.2126277050344,0.627096729302283,0.207594778183706,3.66661039996313,3.66583455232719,1.00189226041793,1.92521368367244
"119",119,14.8469654972618,"Italy-Rome",0,0,0,0,0,0,0,1,0,0,"not male",10.3327447031986,1.07401326051974,0.212107662727873,2.72353461023223,2.76630129470347,1.65364419588705,1.04952973953186
"120",120,14.6903323460368,"Italy-Rome",0,0,0,0,0,0,0,0,1,0,"not male",9.59841779155332,1.36473691672547,0.000166522987316231,4.10502751633033,4.53407715902766,0.917895018653601,1.14150830716778
"121",121,15.7156466441959,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",14.4052921737915,1.51028822894379,-0.0759546568830826,4.15316557265263,4.60514535163917,1.66315984814421,2.06197265435233
"122",122,14.759167796462,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",9.92113187428198,1.40246104839605,-0.0741208461645599,3.46070974012305,3.6759057623626,0.746970836976692,1.66327359025281
"123",123,15.1694794155568,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",11.8447531620202,0.732736049222821,0.48396520003699,3.13557421655115,3.05247041996104,1.41741629528151,1.84868792953156
"124",124,15.380029211406,"Italy-Rome",0,0,1,0,0,0,0,0,0,0,"not male",12.8318518708454,0.863272535529847,0.190211577569933,4.06715889571232,3.74951348037142,1.60098036681801,1.77001985548604
"125",125,17.2657880806985,"Italy-Rome",0,0,0,1,0,0,0,0,0,0,"not male",21.6726590420276,1.20315171568145,0.347951857633568,3.43859844468528,2.67787821254119,3.83397579836996,2.75750560930403
"126",126,15.0245489882775,"Italy-Rome",0,0,0,0,1,0,0,0,0,0,"not male",11.1652909138621,1.06056167923307,-0.0287808332779354,3.24309219976295,2.93728488957324,1.27837949817975,1.7030495098146
"127",127,15.8213771419118,"Italy-Rome",0,0,0,0,0,1,0,0,0,0,"not male",14.9009774693192,0.887301868273903,0.36404270519562,3.50135210971311,3.46508481642922,2.02658704619225,2.17233641378561
"128",128,15.6800088429082,"Italy-Rome",0,0,0,0,0,0,1,0,0,0,"not male",14.2382151766632,0.788379537727121,0.389721512648357,3.23736054205845,2.65619217621082,1.91277426133459,2.22905837957469
"129",129,14.7462527425511,"Italy-Rome",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"not male",9.86058357031216,0.609598049340435,0.401808791767495,3.16544735937288,2.96672485158297,1.17768953104827,1.39480370246229
"130",130,15.545965338661,"Italy-Rome",0,0,0,0,0,0,0,1,0,0,"not male",13.6097929574196,1.68658607991813,0.0855624674056012,3.88437065609639,3.31005109505428,1.99868091708404,1.61797076536689
"131",131,16.9072066708642,"Italy-Rome",0,0,0,0,0,0,0,0,1,0,"not male",19.9915591139623,0.207001222994786,0.622090899551822,4.19225557431317,2.95515438058832,3.16196800034761,2.88215101044824
"132",132,16.0154506396651,"Italy-Rome",0,0,0,0,0,0,0,0,0,1,"not male",15.8108320634635,0.738931057469767,0.35580469511595,2.55564342248037,3.30431290641866,2.22726133264535,2.41777392165575
"133",133,15.6470271639497,"Italy-Rome",1,0,0,0,0,0,0,0,0,0,"not male",14.0835906015903,0.935803311072846,0.317041962802779,3.16413952410463,3.11124175958253,2.04422520909664,1.93059268418571
"134",134,15.230597844559,"Italy-Rome",0,1,0,0,0,0,0,0,0,0,"not male",12.1312883358502,0.510261467006218,0.201340279417959,3.98803662053964,3.54930546967221,1.96728265843878,1.15916820616387
